,acousticness,danceability,energy,instrumentalness,key,loudness,speechiness,tempo,valence
6gXrEUzibufX9xYPk3HD5p,0.0966,0.667,0.755,6.94e-05,9,-7.246,0.069,109.535,0.883
5UYPZZDQfpCE7A0FDDqv4k,0.00975,0.436,0.657,0.00748,5,-8.868,0.0541,118.693,0.21
6qnhXRedMi71TBYRc9jm4o,0.0215,0.616,0.777,0.075,4,-12.179,0.0549,111.732,0.786
5HNCy40Ni5BZJFw1TKzRsC,0.15,0.472,0.366,0.308,11,-12.595,0.0286,127.167,0.171
2f0P7iELCvAlV8j6Z3rGDE,0.0183,0.484,0.711,0.173,2,-7.784,0.0331,148.189,0.49
7cy1bEJV6FCtDaYpsk8aG6,0.319,0.623,0.91,0.000448,9,-8.448,0.0384,145.624,0.745
3okPiJwW5nCLpug12sCL4p,0.247,0.563,0.915,8.46e-05,7,-5.062,0.08,136.345,0.71
5LNiqEqpDc8TuqPy79kDBu,0.327,0.591,0.804,5.98e-06,0,-7.299,0.0454,111.457,0.658
5zH710lFSLtkHbMkslLDjR,0.116,0.427,0.459,0.000103,9,-12.442,0.0332,129.878,0.383
14XWXWv5FoCbFzLksawpEe,0.25,0.549,0.722,0.0138,11,-11.729,0.0283,103.885,0.716
5uujhDA7WTFfGBkLh491KI,0.402,0.71,0.763,9.63e-05,0,-6.693,0.0279,115.579,0.508
5EcvzboYmDIfXo9gPplsSB,0.228,0.638,0.931,0.000295,0,-3.605,0.0363,128.662,0.965
2udGjDmpK1dH9VGyw7nrei,0.0607,0.699,0.502,0.0337,9,-12.526,0.0278,105.266,0.676
6Vjk8MNXpQpi0F4BefdTyq,0.452,0.483,0.615,0.000414,2,-8.538,0.0497,80.576,0.594
3QZ7uX97s82HFYSmQUAN1D,0.00145,0.536,0.901,0.0186,9,-7.211,0.0374,87.559,0.666
3CPeWqqaHR0hmyfsWhMJQs,0.0373,0.672,0.72,9.38e-06,9,-7.781,0.035,118.731,0.828
6FsQrRpBLgsrFeAeiQqytm,0.157,0.729,0.818,0.285,2,-9.992,0.0732,125.811,0.907
5QTxFnGygVM4jFQiBovmRo,0.0029,0.333,0.927,0.000211,9,-8.55,0.0733,141.47,0.382
1oG2vWELiGjIqxwqGcyqwF,0.0995,0.567,0.959,6.07e-05,8,-3.822,0.102,137.377,0.961
3GGkKcUEC4xMxbJ9HEjWNg,0.355,0.583,0.612,8.55e-06,9,-7.101,0.0311,128.252,0.774
51H2y6YrNNXcy3dfc3qSbA,0.0102,0.729,0.989,4.45e-05,9,-4.613,0.049,126.47,0.84
2KmEgiY8fQs0G6WNxtzQKr,0.313,0.489,0.724,0.185,5,-8.367,0.0352,117.292,0.15
7GNf8GN66LzBmENFQWxBKb,0.00608,0.325,0.674,0.172,11,-14.169,0.0397,83.18,0.696
6ToM0uwxtPKo9CMpbPGYvM,0.2,0.421,0.751,0.0,9,-9.584,0.0472,89.839,0.789
0hCB0YR03f6AmQaHbwWDe8,0.0484,0.412,0.902,0.131,9,-11.6,0.405,89.74,0.422
3yrSvpt2l1xhsV9Em88Pul,0.182,0.491,0.583,0.0,7,-10.964,0.0376,150.572,0.907
45s88Xopo6KvHc0PQ05aGg,0.14,0.299,0.787,0.0,0,-7.93,0.069,94.798,0.716
5ZgZhzQGCqVwPydT4CkH0W,0.256,0.162,0.867,3.37e-05,0,-7.18,0.092,174.851,0.499
3KPwt1LBpt1jVSHz8GXERo,0.326,0.543,0.529,0.00269,7,-9.717,0.0301,85.126,0.746
24NwBd5vZ2CK8VOQVnqdxr,0.00298,0.38,0.76,0.0294,9,-10.961,0.0378,99.437,0.491
3LQPTJEqOfljGBxmpgUnoC,0.146,0.55,0.726,0.00608,2,-8.51,0.0516,92.697,0.37
6XUHsYE38CEbYunT983O9G,0.0694,0.531,0.818,0.0096,2,-5.358,0.0452,90.767,0.471
4JNi40t7xR5bO3PWxRkiPN,0.0119,0.279,0.852,0.076,7,-7.838,0.0511,117.418,0.438
0FeCO85RKW8fDRytwXof2x,0.0219,0.597,0.812,0.00106,5,-12.062,0.0315,135.68,0.823
4vO9dmzNRqDhFY3jD1a3P7,0.0975,0.58,0.624,0.0,9,-8.346,0.0784,139.72,0.639
3d9DChrdc6BOeFsbrZ3Is0,0.0576,0.559,0.345,0.000105,4,-13.496,0.0459,84.581,0.458
43DeSV93pJPT4lCZaWZ6b1,0.234,0.445,0.706,0.000252,8,-9.803,0.0461,80.823,0.768
