,acousticness,danceability,energy,instrumentalness,key,loudness,speechiness,tempo,valence
1Jc2Hraav7m125NUppXdNr,0.828,0.335,0.104,0.00277,5,-22.305,0.0698,95.582,0.396
2n3oOqvFqEFNmu1AEbiv9T,0.802,0.447,0.221,0.486,5,-21.62,0.0605,152.825,0.384
6kyiWsforDWCq1VBCm4BNZ,0.815,0.454,0.59,0.236,2,-15.083,0.067,165.254,0.812
0fp4jVjEtGXN2NMqq9r88N,0.91,0.359,0.24,0.96,4,-15.446,0.0348,139.733,0.523
2jjVsWQEUeZ06qSqF8xiBr,0.91,0.109,0.167,0.92,4,-18.669,0.0382,86.554,0.0692
0CJuLeZpCdqrqoCMXWZw8k,0.946,0.249,0.124,0.941,2,-20.496,0.0425,111.333,0.0993
4qrDfSlJSCMvlOhBIZkpbt,0.482,0.233,0.537,0.773,3,-13.141,0.0616,85.021,0.0857
1tJDL1kGpCLhM19j2jtGrs,0.966,0.342,0.234,0.581,5,-14.421,0.0364,166.736,0.473
7udI8zr4wemx3qWppKwjZF,0.821,0.251,0.0754,0.497,2,-13.618,0.0375,120.383,0.343
6LB4Zbr1HxC5YBClvnFTFQ,0.158,0.404,0.824,0.882,0,-6.076,0.0604,89.917,0.572
4tuoc4n6tbAaORqRxH5syQ,0.97,0.487,0.361,0.0164,10,-8.698,0.0464,148.562,0.38
61PStZvb3GdWlVWEf3hkzW,0.849,0.4,0.135,0.847,2,-21.102,0.0369,125.519,0.323
3WXihZyREYjtzDjTfArJN2,0.899,0.358,0.167,0.96,7,-16.0,0.0354,144.561,0.601
76TTEfkyihTkP3PnDjpMlj,0.932,0.386,0.239,0.776,2,-14.492,0.0453,109.209,0.199
4ZPi2ECZ5gRcmEd2piA5k5,0.905,0.222,0.213,0.76,1,-23.514,0.0471,82.735,0.0678
00zJDVXhQvGixkoMC45crr,0.979,0.305,0.0289,0.257,0,-22.509,0.0337,95.851,0.0913
3462hQTzF5oHhoJfJJ5ULK,0.903,0.511,0.25,0.00137,6,-16.066,0.0342,107.819,0.396
6l5J6tU3see9rbG0XCEaZH,0.929,0.457,0.182,0.0318,1,-19.423,0.0362,120.217,0.343
1qVMPZ7nSxG951aEwMYSRl,0.963,0.219,0.0765,0.833,9,-30.23,0.04,137.904,0.214
2iF4aPV2pPuF3WDW3gm0Qh,0.849,0.581,0.0769,0.774,5,-25.001,0.0622,170.034,0.388
7GsdIATBI5V3RWRJcQ6n41,0.907,0.622,0.408,0.14,9,-16.961,0.0578,82.781,0.73
2oqgnxjyNYItifLYl9MzaW,0.978,0.124,0.0179,0.639,6,-32.271,0.0404,96.272,0.041
6lnttZF0hDaVyVZBEgpJ3I,0.964,0.364,0.189,0.82,2,-22.125,0.0425,111.408,0.283
1Md7tRnLVoWnDpfLO905yj,0.975,0.159,0.0214,0.817,7,-30.446,0.0387,96.552,0.0398
7ml3GAaGw8bJy1FN3gtZSv,0.992,0.369,0.203,0.929,1,-19.098,0.0512,86.245,0.0937
723MBChoqSL7fZR2AStyiv,0.983,0.334,0.123,0.791,4,-21.827,0.0464,67.254,0.307
0nBsOGDIIByflMenfQVBBX,0.656,0.167,0.244,0.901,2,-17.426,0.0375,136.251,0.0705
2cApRlVuoMWZntHMorNrCz,0.933,0.254,0.00976,0.00809,9,-37.818,0.0395,79.472,0.162
2xyUksDmBpNEg9EKOgg4I1,0.965,0.298,0.0506,0.876,4,-23.894,0.0415,138.083,0.0777
3Yj3cvG876uhorb3QppMFx,0.976,0.637,0.248,0.887,9,-15.732,0.0698,92.076,0.673
6rLDEaQpei8GJSUkQQ7P0m,0.99,0.328,0.0461,0.611,4,-19.937,0.0439,70.643,0.0747
7zLD18HIcITkhrmhXrVEUm,0.858,0.533,0.127,0.939,2,-19.222,0.0379,116.069,0.639
5PJdoZiLVsMy4cfQjZfum6,0.988,0.349,0.0338,0.894,1,-31.422,0.035,67.426,0.268
2WHc9Uv3oRYGHEYiGRman2,0.968,0.214,0.0641,0.965,8,-25.29,0.0413,116.648,0.128
4m5MPuBbO5I55OTqOQvhVa,0.949,0.185,0.0642,0.632,0,-22.965,0.0367,85.151,0.0366
1TovXsx8y7Fg8khuj7zNxX,0.962,0.38,0.0903,0.416,5,-22.66,0.0453,165.156,0.16
0Wvdpv6sqTYiMU5OUaN7WO,0.979,0.462,0.0969,0.577,0,-23.862,0.049,145.375,0.293
3sO3HX4EP1jS9rZW9OvHCN,0.995,0.387,0.268,0.828,0,-13.996,0.0348,113.357,0.337
096Z8UkoxZO6g0eIEkXQZT,0.981,0.228,0.498,0.864,8,-20.596,0.0533,79.023,0.358
2WND4rEfpeAWE0T9Cqqrgw,0.988,0.231,0.0337,0.938,1,-28.199,0.0407,78.147,0.074
364cqlWzTePMTVNc7yTRxT,0.994,0.232,0.295,0.834,0,-16.304,0.036,93.678,0.0757
78dv9BM2N8Ql0vrNE2Cv1I,0.963,0.341,0.247,0.763,9,-16.986,0.0457,77.208,0.0994
0p6eXDSAFhKm9CB192DLeB,0.995,0.298,0.0357,0.864,7,-31.271,0.0403,67.197,0.425
4tZGDK8idBAYQEhoEAIuwY,0.822,0.376,0.44,0.934,4,-14.496,0.0383,151.36,0.463
5kqPT89YuZqsvtZ2vOdNP5,0.867,0.444,0.237,0.807,0,-22.001,0.0411,80.891,0.582
0I9CI4hylWU2NUzs25DhpC,0.811,0.397,0.353,0.142,0,-20.955,0.0374,135.818,0.613
2Ie8b5XKGVJkxlPrgF9CYy,0.944,0.175,0.106,0.782,0,-22.013,0.0413,100.554,0.0722
19KROauHNCVeaFXF8IGYaD,0.686,0.173,0.126,0.391,1,-18.533,0.0387,139.085,0.146
5G3tdTQMCwIBJqUfvSyPLz,0.857,0.525,0.188,0.0766,1,-16.428,0.0474,118.577,0.817
7bIKaXqA8KY6GavukbjZJq,0.993,0.285,0.134,0.712,9,-20.81,0.0594,79.202,0.103
1nHtRc0HGPJYTKHfKRuBRX,0.965,0.268,0.0726,0.867,5,-22.584,0.0437,130.796,0.106
6zzn6E0PT9kXZYkmDTOhGS,0.992,0.51,0.0885,0.88,5,-27.083,0.0676,81.7,0.396
5Rli7E50n1hh6aebitq0uF,0.946,0.172,0.109,0.819,2,-18.204,0.0438,140.263,0.0454
2dYSUn2tBBBUbbubC3PZHr,0.946,0.175,0.141,0.927,2,-20.845,0.042,141.525,0.0831
2nBt51JLTQOe9juxOBFHlP,0.935,0.415,0.369,0.926,7,-14.267,0.035,78.265,0.267
1aBSBRwNj03mRvUBEQiRBB,0.935,0.149,0.0874,0.866,4,-17.791,0.04,137.067,0.0377
0H3JiNc4CGnFVwMqWvACmO,0.943,0.152,0.0749,0.846,4,-25.909,0.0382,87.731,0.0378
4rCjX8MpATh0rxtuPry563,0.929,0.41,0.0892,0.367,0,-20.308,0.0551,78.749,0.389
1cVmiEKOqc7f4zGYv6c0Sx,0.979,0.381,0.196,0.901,5,-20.957,0.0423,127.454,0.207
2C0o5Bby6mL7fpxd3OpLYE,0.98,0.235,0.041,0.9,0,-26.55,0.044,69.563,0.0379
