,acousticness,danceability,energy,instrumentalness,key,loudness,speechiness,tempo,valence
4daqL8xYpz0nItKGbnZvT3,0.229,0.591,0.572,0.00283,2,-6.152,0.0257,87.972,0.385
5jNL1hxakQKlx8lxrId2Rp,0.0897,0.659,0.664,0.0,6,-7.741,0.0282,151.996,0.621
4iLPK8QnOvqm0Azbsk2GDn,0.0484,0.573,0.824,0.0,1,-4.443,0.0373,90.966,0.668
0jgHUwPyki1mzZNErUhL96,0.0103,0.602,0.851,0.0,11,-2.706,0.0393,111.96,0.631
6RgGppm2SSX5p246UqfdEi,0.0915,0.609,0.661,0.000482,7,-9.549,0.0252,97.93,0.892
7mldq42yDuxiUNn08nvzHO,0.463,0.731,0.469,1.04e-06,5,-7.226,0.0326,98.963,0.631
3n2A6l4UayVe3GGKCvfQWV,0.0353,0.488,0.744,0.0,2,-4.284,0.131,180.007,0.59
3DXEOzSauFzfLEToJ3tFDR,0.097,0.646,0.882,0.0,4,-3.77,0.0371,101.997,0.544
7zdoKz94Bse1ZM41eQPLFz,0.0611,0.499,0.958,0.0,1,-2.897,0.0422,141.95,0.573
7CL6oaDC9d0QXFMQRkNBmy,0.0371,0.532,0.801,7.07e-06,2,-3.759,0.0393,172.05,0.799
5E3P9e1hvjyIOlFyqNB5eD,0.5,0.597,0.643,0.0,5,-6.303,0.134,167.963,0.823
5C6uh95eAL0RBTSGXKQwvk,0.263,0.505,0.79,0.0884,3,-5.442,0.035,155.934,0.445
33AQv3sfvHmtGfYNIJpi96,0.184,0.658,0.776,1.52e-06,2,-5.651,0.0308,93.941,0.731
7px4t7HGiuMUvFkEOpZEwp,0.125,0.497,0.805,0.0,11,-3.995,0.0332,166.048,0.696
0CexLaYHQrvcTZZb8Ra54e,0.129,0.69,0.626,0.0,7,-5.831,0.0275,101.958,0.638
6zDx6Xf99MZPziRZH2iddZ,0.0494,0.562,0.94,0.0,5,-4.337,0.114,103.009,0.456
0U1Er7jhnFOePHGrlZo2E8,0.017,0.646,0.724,1.39e-06,9,-6.96,0.0265,115.984,0.54
2QtZvpEiGKqcwMsF1tUW7B,0.0381,0.682,0.795,0.0,8,-5.503,0.0295,112.99,0.712
5aPGxR67OwJmu1eEsErW5e,0.0489,0.567,0.839,0.0,6,-4.048,0.0698,160.062,0.903
32gnW7CtSUBXIeNsXiweQ3,0.126,0.454,0.843,6.81e-06,0,-4.747,0.0584,156.961,0.282
6a7wXoZOARI8IqEXObjhDz,0.451,0.775,0.689,1.34e-05,5,-3.695,0.0322,106.978,0.618
7iDDWqSjOa4PNvHQgUFI73,0.376,0.72,0.714,0.0,5,-2.402,0.0331,122.488,0.455
7bNX2Fgb4MjPrYbkHaCNwV,0.126,0.709,0.643,0.0,5,-7.676,0.0274,119.99,0.515
498ZVInMGDkmmNVpSWqHiZ,0.0406,0.488,0.915,0.0,7,-4.255,0.0389,75.019,0.646
4gHDOASpAaGG9eitQZP1bQ,0.0186,0.444,0.821,3.09e-06,10,-5.91,0.0416,151.948,0.452
28B02YJaBMp2byqoM9H92n,0.188,0.738,0.514,0.0,7,-11.831,0.0767,143.932,0.201
0Utg7sirTPqrs6Cx0FbriQ,0.511,0.576,0.849,3.89e-05,9,-3.057,0.0386,137.982,0.666
3I7krC8kr0gFR7P6vInR1I,0.122,0.549,0.751,0.0,9,-5.423,0.0299,89.953,0.493
4nllHILOTFjoMo5RD8IciY,0.019,0.367,0.871,1.35e-06,0,-6.654,0.0584,173.569,0.65
7BXjLVhLqSYXY9b5ePuoqP,0.0113,0.438,0.759,0.0,10,-3.509,0.0298,159.838,0.47
0w3Q14i073jLoew1hgJkwD,0.0617,0.594,0.824,0.0,9,-4.252,0.0458,116.005,0.671
03fT3OHB9KyMtGMt2zwqCT,0.0832,0.51,0.898,0.0,11,-3.15,0.0696,144.056,0.596
3rh2f6nqswpfDN3Ef6Bi5J,0.0161,0.513,0.803,0.0,0,-4.45,0.0777,156.038,0.746
3Qj2YJB1KmgXr5SutGokdb,0.825,0.573,0.428,2.97e-05,8,-7.591,0.0347,78.161,0.287
3b7CDTKB0SRTmQ6ytYi5vZ,0.178,0.558,0.872,0.0,9,-4.401,0.0449,143.971,0.472
1YhFtqwcN138S6ng3MT1nN,0.105,0.622,0.932,2.37e-06,11,-4.66,0.0498,108.051,0.519
