,acousticness,danceability,energy,instrumentalness,key,loudness,speechiness,tempo,valence
1OgFB7PkildqrFJ3yVvFlB,0.994,0.517,0.434,0.781,1,-10.874,0.053,81.559,0.721
7xaToqK8MCNNVpvOeqTX8N,0.989,0.56,0.535,0.848,2,-10.776,0.0607,131.501,0.79
6aRbgktYtW0iTly8uMI1Ut,0.782,0.639,0.51,0.923,8,-15.839,0.074,127.464,0.974
6iklmolQDQ8L76PgIMK5tG,0.845,0.509,0.244,0.00176,0,-16.952,0.0443,97.352,0.398
66XzlLhhDDBVPIF0GTcivt,0.97,0.69,0.305,0.896,7,-15.438,0.0709,178.33,0.925
5L8ta4ECl5zeA6bGqY7G38,0.853,0.62,0.67,0.896,2,-11.575,0.0591,113.492,0.295
6dZKWYSx5YBIme4SfpIHJ0,0.854,0.645,0.398,0.306,8,-12.208,0.11,82.768,0.705
2STqplYkSLD5ovON11dwcB,0.985,0.616,0.274,0.508,3,-12.058,0.048,84.729,0.51
52S3Yq3o87V1foc5MBBZKx,0.982,0.581,0.443,0.915,3,-11.788,0.0409,96.587,0.962
56pgb3OHx7m2KiPjzwzSs2,0.995,0.732,0.174,0.88,10,-14.542,0.115,110.048,0.574
46MgOcI4ynxtWCWatdu5b2,0.983,0.643,0.55,0.858,3,-10.432,0.0386,111.268,0.894
6p4wvBOU7A4vdw0qQI9TvZ,0.761,0.693,0.685,0.85,5,-8.842,0.0862,122.923,0.934
7Bto5shUBaNnD3YDv1rnXv,0.87,0.689,0.267,0.866,7,-11.567,0.0728,162.677,0.725
7MbTTvpX2gFMGKid4IHZS0,0.924,0.744,0.315,0.94,9,-10.337,0.0927,105.474,0.702
3QGJswb37JtSf5rsacHxCl,0.812,0.535,0.475,0.00125,0,-10.537,0.029,116.077,0.396
4Vkk3iD1VrENHJEACNddvt,0.804,0.612,0.493,0.266,5,-8.589,0.0467,126.358,0.484
1YQWosTIljIvxAgHWTp7KP,0.539,0.454,0.26,0.00078,8,-13.193,0.0401,174.322,0.598
3vXaLrNFlS9T12oTw6EG0e,0.855,0.428,0.218,0.131,7,-17.278,0.0427,186.427,0.501
3kRg9wvgMf9IstjNYbZkkL,0.781,0.398,0.296,0.0806,5,-12.742,0.047,176.233,0.728
74HwaWwtVa2buG8OIHZkgs,0.768,0.435,0.499,0.107,9,-8.576,0.0317,121.924,0.683
0gCKwy3YmhKc9rzjYjTQKx,0.441,0.431,0.491,0.000458,0,-10.746,0.0562,148.243,0.577
0488kXJ1YnLMrrM1ssJnev,0.572,0.698,0.278,0.0233,5,-15.425,0.0508,81.079,0.77
7p6ZeiNtEHJKmc4YWBZELG,0.977,0.562,0.111,0.904,5,-23.875,0.0622,51.655,0.133
5Kwd8HB9VQ12yFSu0dM4Yi,0.637,0.625,0.319,0.0755,0,-12.803,0.113,109.792,0.692
0PrGgNDwfJPNXADJYROvBw,0.936,0.464,0.305,0.0846,3,-12.435,0.0316,108.231,0.282
3PJMsxg6rz9FOo6xNiASXz,0.957,0.356,0.0937,0.096,8,-16.64,0.0353,86.669,0.278
1Bdt84PPAJxHmgg5EaSDT7,0.935,0.607,0.0299,0.723,10,-22.105,0.0464,97.029,0.251
5xOtXvaUGRoTIdYGqLOZh1,0.542,0.526,0.589,0.894,2,-11.109,0.0377,86.636,0.95
4LjwTBiCFPuwEr2Ku8zbGW,0.212,0.475,0.715,0.00655,5,-10.453,0.0325,99.974,0.878
0U07I6u9AORTOz6PGVuU4h,0.962,0.551,0.254,0.933,10,-14.48,0.0415,81.053,0.54
7eYF1tAcKBvhJU4W9K0Uca,0.253,0.375,0.627,0.685,4,-10.267,0.0371,123.462,0.133
3i9RJHcFjY8AXVz9FrXeuu,0.781,0.575,0.748,3.98e-05,2,-7.728,0.0343,109.599,0.726
3JaItn4OtIhEx9Qwc8rzGe,0.251,0.626,0.514,0.71,3,-9.672,0.0305,116.379,0.415
3Ha7y4d3BcXypRrBzE3Zxh,0.137,0.593,0.515,0.52,10,-12.697,0.0436,133.215,0.897
0tdcLmdaZ2kHZjuBNFAFt6,0.737,0.669,0.789,0.922,9,-8.206,0.0459,109.18,0.671
0iEtT7O43pat2fu6jdaCKl,0.816,0.629,0.283,0.000437,0,-17.384,0.0436,104.739,0.862
0sQ9ee2jJNTQgjy55Pse5H,0.792,0.547,0.305,0.352,3,-10.934,0.0491,164.908,0.666
3QuSHJUfvuOyeKMS32Wckj,0.736,0.509,0.224,0.301,0,-11.123,0.0327,112.355,0.17
2uiTBklIqGQhPYdlUGvPl3,0.64,0.477,0.301,6.3e-06,7,-15.635,0.0351,174.859,0.519
2HptWPVFocwebcHSgJHFEo,0.828,0.571,0.293,0.179,0,-11.914,0.0385,82.745,0.23
0j8bnD1EGeUPjHBnXPHibI,0.964,0.563,0.297,0.939,7,-14.947,0.0549,111.304,0.654
4ziNEnmyNT3AJL98nfXr0D,0.442,0.466,0.395,0.00531,5,-18.022,0.0432,118.5,0.664
641wx7eYD34B5QBQjxxHPG,0.866,0.482,0.351,0.178,7,-15.222,0.0348,102.287,0.616
4dwvM6WSpM4xO7scm3ufft,0.742,0.51,0.236,0.617,7,-15.62,0.0345,129.408,0.215
3hY3MPL9hAITPgVfiVlL5K,0.926,0.581,0.163,0.861,0,-16.612,0.0547,88.101,0.448
5LucwdrsPJ11MkweMTFF4w,0.975,0.659,0.107,0.935,10,-16.601,0.0583,94.943,0.7
2BhU0Hl5OatWiCW93pE2b8,0.794,0.539,0.403,0.000613,8,-9.168,0.0531,165.301,0.699
1IxneAx0pmPZpo4lqrW1QN,0.962,0.544,0.389,0.834,2,-6.774,0.108,138.277,0.456
6Lnl5JEyaLrLYM06Zr8aTl,0.725,0.645,0.344,0.951,5,-15.283,0.0542,134.152,0.634
